"","country","medal","category","count"
"158","Switzerland","Silver","Co-ed",1
"159","France","Silver","Co-ed",1
"160","Austria","Silver","Co-ed",2
"161","Japan","Silver","Co-ed",0
"162","Italy","Silver","Co-ed",0
"163","OAR","Silver","Co-ed",1
"164","Czech Republic","Silver","Co-ed",0
"165","Belarus","Silver","Co-ed",0
"166","China","Silver","Co-ed",1
"167","Slovakia","Silver","Co-ed",0
"168","Finland","Silver","Co-ed",0
"169","Great Britain","Silver","Co-ed",0
"170","Poland","Silver","Co-ed",0
"171","Hungary","Silver","Co-ed",0
"172","Ukraine","Silver","Co-ed",0
"173","Australia","Silver","Co-ed",0
"174","Slovenia","Silver","Co-ed",0
"175","Belgium","Silver","Co-ed",0
"176","Spain","Silver","Co-ed",0
"177","New Zealand","Silver","Co-ed",0
"178","Kazakhstan","Silver","Co-ed",0
"179","Latvia","Silver","Co-ed",0
"180","Liechtenstein","Silver","Co-ed",0
"181","Norway","Bronze","Men",6
"182","Germany","Bronze","Men",4
"183","Canada","Bronze","Men",4
"184","United States","Bronze","Men",0
"185","Netherlands","Bronze","Men",2
"186","Sweden","Bronze","Men",0
"187","Republic of Korea","Bronze","Men",4
"188","Switzerland","Bronze","Men",2
"189","France","Bronze","Men",4
"190","Austria","Bronze","Men",4
"191","Japan","Bronze","Men",1
"192","Italy","Bronze","Men",2
"193","OAR","Bronze","Men",6
"194","Czech Republic","Bronze","Men",0
"195","Belarus","Bronze","Men",0
"196","China","Bronze","Men",1
"197","Slovakia","Bronze","Men",0
"198","Finland","Bronze","Men",0
"199","Great Britain","Bronze","Men",2
"200","Poland","Bronze","Men",1
"201","Hungary","Bronze","Men",0
"202","Ukraine","Bronze","Men",0
"203","Australia","Bronze","Men",1
"204","Slovenia","Bronze","Men",1
"205","Belgium","Bronze","Men",0
"206","Spain","Bronze","Men",2
"207","New Zealand","Bronze","Men",1
"208","Kazakhstan","Bronze","Men",0
"209","Latvia","Bronze","Men",1
"210","Liechtenstein","Bronze","Men",0
"211","Norway","Bronze","Women",3
"212","Germany","Bronze","Women",2
"213","Canada","Bronze","Women",5
"214","United States","Bronze","Women",4
"215","Netherlands","Bronze","Women",4
"216","Sweden","Bronze","Women",1
"217","Republic of Korea","Bronze","Women",0
"218","Switzerland","Bronze","Women",2
"219","France","Bronze","Women",2
"220","Austria","Bronze","Women",1
"221","Japan","Bronze","Women",3
"222","Italy","Bronze","Women",2
"223","OAR","Bronze","Women",3
"224","Czech Republic","Bronze","Women",3
"225","Belarus","Bronze","Women",0
"226","China","Bronze","Women",1
"227","Slovakia","Bronze","Women",0
"228","Finland","Bronze","Women",4
"229","Great Britain","Bronze","Women",2
"230","Poland","Bronze","Women",0
"231","Hungary","Bronze","Women",0
"232","Ukraine","Bronze","Women",0
"233","Australia","Bronze","Women",0
"234","Slovenia","Bronze","Women",0
"235","Belgium","Bronze","Women",0
