Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Relative Effort,Commute,Activity Gear,Filename
1399845517,"Feb 9, 2018, 11:50:56 PM",Friday afternoon treat run. Lucky to live here.,Run,"",4125,13.37,,false,TG3-3,activities/1399845517.gpx
1403426669,"Feb 11, 2018, 9:29:32 PM",Won't you be my neighbor?,Run,"",7454,22.84,,false,TG3-3,activities/1403426669.gpx
1408156114,"Feb 15, 2018, 4:27:21 AM",Valentine's Day Run,Run,"",4047,13.82,,false,TG3-3,activities/1408156114.gpx
1409736472,"Feb 16, 2018, 4:53:32 AM",Probably should stop pre-gaming my runs with hot dogs and pizza,Run,"",4051,13.36,,false,TG3-3,activities/1409736472.gpx
1412816312,"Feb 17, 2018, 9:52:11 PM",Pre-gaming Twisted Tasting,Run,"",8144,24.51,,false,TG3-3,activities/1412816312.gpx
1418248660,"Feb 21, 2018, 3:33:50 AM",Had to break out the long sleeves for this one.,Run,"",4038,13.63,,false,TG3-3,activities/1418248660.gpx
1424601286,"Feb 25, 2018, 4:09:20 AM",Lua rode a rollercoaster today,Run,"",4094,13.89,,false,TG3-3,activities/1424601286.gpx
1434758192,"Mar 3, 2018, 9:24:55 PM",Nothing like running in the rain,Run,"",4090,13.19,,false,Xero Prio,activities/1434758192.gpx
1437046544,"Mar 5, 2018, 4:27:15 AM",Dropping off the rent check,Run,"",1766,5.86,,false,Xero Prio,activities/1437046544.gpx
1438030624,"Mar 5, 2018, 7:54:56 PM",I want to run! But there's no time! But I want to run! But there's no time!,Run,"",1637,5.13,,false,Xero Prio,activities/1438030624.gpx
1440199984,"Mar 7, 2018, 4:22:59 AM",Finally not freezing!,Run,"",3995,12.96,,false,Xero Prio,activities/1440199984.gpx
1448458831,"Mar 11, 2018, 7:32:05 PM",Trapped by a river and damaged trails,Run,"",7189,16.49,,false,Xero Prio,activities/1448458831.gpx
1449416141,"Mar 12, 2018, 3:50:13 PM",Trying to squeeze a run in before the rain,Run,"",1842,5.69,,false,Xero Prio,activities/1449416141.gpx
1449670307,"Mar 12, 2018, 6:14:44 PM",I can still see the sun!,Run,"",3007,9.69,,false,Xero Prio,activities/1449670307.gpx
1456794638,"Mar 17, 2018, 3:47:06 AM",Surprise rain,Run,"",4171,13.99,,false,Xero Prio,activities/1456794638.gpx
1460168490,"Mar 18, 2018, 8:27:58 PM",Mud,Run,"",6889,19.49,,false,Xero Prio,activities/1460168490.gpx
1481860827,"Mar 31, 2018, 4:19:15 AM",Campus Tour,Run,"",4417,13.20,,false,Xero Prio,activities/1481860827.gpx
1486528963,"Apr 3, 2018, 3:26:41 AM",Quick run and then back to work,Run,"",1527,5.82,,false,Xero Prio,activities/1486528963.gpx
1490142505,"Apr 5, 2018, 3:53:43 AM",Mission Sub 7,Run,"",1456,5.77,,false,Xero Prio,activities/1490142505.gpx
1493077979,"Apr 6, 2018, 6:22:24 PM",Rain Run,Run,"",1566,5.77,,false,Xero Prio,activities/1493077979.gpx
1523591922,"Apr 22, 2018, 2:35:39 AM","""Jogging"" or ""Yogging"", I'm not sure if there's a soft ""J""",Run,"",2196,7.63,,false,Xero Prio,activities/1523591922.gpx
1528072220,"Apr 24, 2018, 2:38:51 AM",Merry-go-round,Run,"",3778,13.17,,false,Xero Prio,activities/1528072220.gpx
1533138316,"Apr 26, 2018, 3:32:54 PM",Capistrolla,Run,"",4175,13.33,,false,Xero Prio,activities/1533138316.gpx
1535657256,"Apr 28, 2018, 12:23:11 AM",Afternoon Run,Run,,1577,5.33,,false,Xero Prio,activities/1535657256.gpx
1540279866,"Apr 30, 2018, 4:24:56 AM",A great end to a weekend of cake,Run,"",3897,12.94,,false,Xero Prio,activities/1540279866.gpx
1543222632,"May 1, 2018, 2:58:54 PM",Quick run before lab,Run,"",1611,5.76,,false,Xero Prio,activities/1543222632.gpx
1545333385,"May 2, 2018, 3:26:44 PM",A trot by the ocean on a cloudy morning,Run,"",4103,12.93,,false,Xero Prio,activities/1545333385.gpx
1547287838,"May 3, 2018, 3:15:26 PM",Squeezing another run in before the weekend,Run,"",4144,13.42,,false,Xero Prio,activities/1547287838.gpx
