Kudos Date,Kudos Type,Parent ID
"Feb 21, 2019, 5:26:45 AM",Activity,2154374181
"Mar 1, 2019, 7:06:59 PM",Activity,2184154628
"Mar 22, 2019, 6:44:39 PM",Activity,2232074349
"Sep 3, 2019, 3:38:06 AM",Activity,2671704936
"Sep 3, 2019, 3:38:48 AM",Activity,2668390838
"Sep 3, 2019, 3:39:18 AM",Activity,2662431234
"Sep 3, 2019, 3:39:46 AM",Activity,2663412944
"Sep 3, 2019, 3:39:48 AM",Activity,2664695752
"Sep 3, 2019, 3:39:52 AM",Activity,2663065149
"Sep 3, 2019, 3:39:59 AM",Activity,2661932589
"Sep 3, 2019, 3:40:01 AM",Activity,2660501477
"Sep 3, 2019, 3:40:22 AM",Activity,2659148713
"Sep 3, 2019, 3:40:45 AM",Activity,2657695033
"Sep 3, 2019, 3:40:52 AM",Activity,2656061176
"Sep 3, 2019, 3:40:59 AM",Activity,2657570138
"Sep 3, 2019, 3:41:04 AM",Activity,2655953431
"Sep 29, 2019, 3:42:56 AM",Activity,2747498486
